item,id_netux,criterio_calificacion,nombre_equipo,estado_informe,codigo_certificado,marca,serie,descripcion,iq,oq,pq,cal,centro_costo,area,ubicacion_fisica,proveedor,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,fecha,dias_vigencia_certificado,torre,pendientes,p_iq,p_oq,p_pq,p_cal,precio_unitario
---,,,Tallímetro,En Revisión,019,Seca,2PTD,Calibración metrologica,,,,CAL,1100.0,Hospitalización Torre D,TDP2,FCI,,,,,,,X,,,,,,2024-07-26,-7,Torre D,Pendiente,0,0.0,0.0,0.0,0
---,,,Tallímetro,En Revisión,020,Seca,6PTB,Calibración metrologica,,,,CAL,1101.0,Hospitalización Reinaldo Cabrera,Hospitalizacion adultos TBP - 611,FCI,,,,,,,X,,,,,,2024-07-26,-7,Torre B,Pendiente,0,0.0,0.0,0.0,0
---,,,Tallímetro,En Revisión,021,Seca,5PTB,Calibración metrologica,,,,CAL,1101.0,Hospitalización Reinaldo Cabrera,Hospitalizacion adultos TBP - 5,FCI,,,,,,,X,,,,,,2024-07-26,-7,Torre B,Pendiente,0,0.0,0.0,0.0,0
RECEPCIÓN OK - SE AJUSTA A MES ANTICIPIDADO - pendiente cc,8230773.0,Cumple,Nevera,,2826,Supernordico ,05-1808,Calificación metrologica,,,,CAL,3100.0,Banco de sangre,Banco de sangre,Ainser,,,,X,,,,,,,,,2025-05-14,285,Torre H,Realizado,0,0.0,0.0,0.0,650000
"(-0.25 - 0.25 in H2O)
",,,"Manómetro diferencial de presión (-0,25 - 0,25 in H2O)",En Revisión,LP240610,Sensocon,W29AH MG-1,Calibración metrologica,,,,CAL,402.0,UCI C.V Pediátrica,Cubiculo 10,Ainser,,,,,,,,,,,X,,2024-12-26,146,Torre C,Realizado,0,0.0,0.0,0.0,300000
100 -1000 µl sale  a calibracion pendiente CC BACKUP EN EL  SERVICIO ,,,Micropipeta,En Revisión,CC 407507-S // CC 463257,Boeco,Kd557425,Calibración metrologica,,OQ,PQ,CAL,3100.0,Banco de sangre,Banco de sangre ,Celsius,,,,,X,,,,,,,,2025-06-18,320,Torre H,Realizado,0,0.0,0.0,0.0,111109
100- 1000 ul Recepción ok ,,,Micropipeta,En Revisión,CC 421214,Brand,18M88280,Calibración metrologica,,OQ,PQ,CAL,1000.0,Laboratorio Clínico,Laboratorio clínico,Celsius,,,,,,,,,X,,,,2024-09-17,46,Torre A,Realizado,0,0.0,0.0,0.0,111109
---,,,Nevera,, 3222 // 3327,Supernordico ,11-0275,Calificación metrologica // Calibración,,,,CAL,4301.0,Farmacia,Farmacia central ,Ainser,,,,,,,,X,,,,,2024-08-30,28,Torre A,Realizado,0,0.0,0.0,0.0,650000
---,,Cumple,Nevera,,CF-0047,Supernordico,08-0391,Calificación metrologica,,,,CAL,4301.0,Central de mezclas,Central de Mezclas,Ainser,,,X,,,,,,,,,,2025-03-21,231,Torre A,Realizado,0,0.0,0.0,0.0,650000
RECEPCIÓN OK - SE AJUSTA A MES ANTICIPIDADO - pendiente cc,,,Nevera,,2827,Supernordico ,15-0915,Calificación metrologica,,,,CAL,4301.0,Farmacia,Farmacia central ,Ainser,,,,,X,,,,,,,,2025-05-16,287,Torre A,Realizado,0,0.0,0.0,0.0,650000
10 -100 µl ,,Cumple,Micropipeta,En Revisión,CC 398915 // CC 448781,Rainin,10666601A,Calibración metrologica,,OQ,PQ,CAL,1000.0,Laboratorio Clínico,Laboratorio clínico,Celsius,,,,X,,,,,,,,,2025-04-11,252,Torre A,Realizado,0,0.0,0.0,0.0,111109
EQUIPOS FUERON REAGENDADOS PARA EL MES DE ENERO POR DISPONIBILDAD DE LOS SERIVICOS Y DEL PROVEEDOR - EQUIPOS DENTRO DE CONTRATO 7137 - 04/12/2023 - EQUIPO PARA PROGRMAR OK - 24/05/2025 - pendienete CC,,,Nevera,,2496,Haier,BE0697E1T00QEN2J0020,Calificación metrologica,,,,CAL,700.0,Hemato-oncología,Hemato-oncología,Ainser,,X,,X,,,,,,,,,2025-05-25,296,Torre F,Realizado,0,0.0,0.0,0.0,650000
RECEPCIÓN OK ,,Cumple,Nevera,,CF- 0146 // 2829,Biored,BIO-R1900212,Verificación metrologica,,,,CAL,402.0,UCI C.V Pediátrica,UCI C.V Pediátrica,Ainser,,,,,X,,,,,,,,2025-05-10,281,Torre C,Realizado,0,0.0,0.0,0.0,300000
PENDIENTE CC,,Cumple,Termómetro - neveras,En Revisión,CL - 0455,Alla france,A3530,Calibración metrologica,,,,CAL,4301.0,Central de mezclas,Central de mezclas,Ainser,,,,X,,,,,,,,,2025-04-08,249,Torre A,Realizado,0,0.0,0.0,90000.0,90000
Estabilidad del medio por 6 horas aproximadamente según informe. - CONTRATO,,,Nevera portatil,En Revisión,3217,NO APLICA,9L,Calificación de desempeño (6 h),,OQ,PQ,CAL,4301.0,Estándar,9L,Ainser,,,,,,,,X,,,,,2024-08-17,15,Cardio,Realizado,0,0.0,0.0,0.0,350000
CONTRATO,,,Nevera portatil,En Revisión,3216,NO APLICA,"22,7L",Calificación de desempeño (6 h),,OQ,PQ,CAL,4301.0,Estándar," 22,7L",Ainser,,,,,,,,X,,,,,2024-08-12,10,Cardio,Realizado,0,0.0,0.0,0.0,350000
Solo se realiza desempeño 36 horas dadoq ue no se cuenta con equip para contingencia del CUARTO FRÍO,,Cumple,Cuarto Frio,,2527 // 3777 // CC CF-0031,Supernórdico,08M031903114264500234,Calificación metrologica ,,OQ,PQ,CAL,2300.0,Laboratorio Clínico,Laboratorio clinico-Reactivos,Ainser,,X,,,,,,,,,,,2025-02-22,204,Torre A,Realizado,0,0.0,0.0,0.0,650000
CONTRATO,,,Nevera portatil,En Revisión,3215,NO APLICA,"15,1L",Calificación de desempeño (6 h),,OQ,PQ,CAL,4301.0,Estándar,"15,1L",Ainser,,,,,,,,X,,,,,2024-08-12,10,Cardio,Realizado,0,0.0,0.0,0.0,350000
100 µl  ,,Cumple,Micropipeta,En Revisión,CC 393892 // CC 442743,Biohit,HU08991,Calibración metrologica,,OQ,PQ,CAL,2300.0,Laboratorio Clínico,Inmunoquimica,Celsius,,X,,,,,,,,,,,2025-02-27,209,Torre A,Realizado,0,0.0,0.0,0.0,111109
NO CUMPLE OT-30472 RECEPCIÓN OK - Equipo esta listo para realicar prueba - MTT de Septiembre del 2024 - PENDIENTE CC,,Cumple,Nevera,,2828 // 2829 // CF-0188,Supernordico,804161080102 / 15E-0882 ,Verificación metrologica,,,,CAL,402.0,UCI C.V Pediátrica,UCI C.V Pediátrica toca revisar nevera no cumple ,Ainser,,,,,X,X,,,,,,,2025-06-12,314,Torre C,Realizado,0,0.0,0.0,0.0,300000
100 -1000 µl ,,Cumple,Micropipeta ,En Revisión,CC 388365 // CC 442749,Boeco,RJ84889,Calibración metrologica,,OQ,PQ,CAL,2300.0,Laboratorio Clínico,Laboratorio Clínico,Celsius,,X,,,,,,,,,,,2025-02-27,209,Torre A,Realizado,0,0.0,0.0,0.0,111109
20 µl ,,,Micropipeta,En Revisión,CC 384521 // CC 436688,Fisherbrand,KU03072,Calibración metrologica,,OQ,PQ,CAL,2301.0,Biología Molecular,Biología molecular,Celsius,X,,,,,,,,,,,,2025-01-27,178,Torre H,Realizado,0,0.0,0.0,0.0,111109
---,,,Tallímetro,En Revisión,022,Seca,4PTB,Calibración metrologica,,,,CAL,1101.0,UCI Coronaria,UCI Coronaria - TBP4,FCI,,,,,,,X,,,,,,2024-07-26,-7,Torre B,Pendiente,0,0.0,0.0,0.0,0
---,,Cumple,Cuarto Frio,,CC2502 // CC CF-0029,LUNITE HERMETIQUE_x000D_,08M031709174260700234,Calificación metrologica,,OQ,PQ,CAL,2300.0,Laboratorio Clínico,Laboratorio clinico-Muestras,Ainser,,X,,,,,,,,,,,2025-02-19,201,Torre A,Realizado,0,0.0,0.0,0.0,650000
90°C - ,,,Micropipeta,En Revisión,CC 384524 // CC 436687,Fisherbrand,KU02156,Calibración metrologica,,OQ,PQ,CAL,2301.0,Biología Molecular,Biología molecular,Celsius,X,,,,,,,,,,,,2025-01-27,178,Torre H,Realizado,0,0.0,0.0,0.0,111109
100 - 1000 µl  ,,,Micropipeta,En Revisión,CC 384526 // CC 436689 // 440010,Scilogetx,Ym4d061354,Calibración metrologica,,OQ,PQ,CAL,2301.0,Biología Molecular,Biología molecular,Celsius,X,,,,,,,,,,,,2025-02-20,202,Torre H,Realizado,0,0.0,0.0,0.0,111109
100 - 1000 µl -  EQUIPOS EN CALIBRACIÓN Error de 26uL  pendiente que suban el certificado a la carpeta para hacer el cierre en frattal 12/11/2024 -  El equipo será devuelto sin calibrar. Fecha de baja 2024-09-30 ,,,Micropipeta,En Revisión,CC 367999,Biohit 100 - 1000,41784443,Calibración metrologica,,OQ,PQ,CAL,6904.0,Sede 102,Sede 102 laboratorio,Celsius,,,,,,,,,X,,,,2024-09-08,37,Sede 102,Realizado,0,0.0,0.0,0.0,111109
20 - 200 µl ingresa a la ejecución contrato 2025,,,Micropipeta,En Revisión,CC 384529 // CC440010,Scilogetx,Ym4d033738,Calibración metrologica,,OQ,PQ,CAL,2301.0,Biología Molecular,Biología molecular,Celsius,,,,X,,,,,,,,,2025-04-27,268,Torre H,Realizado,0,0.0,0.0,0.0,111109
100 - 1000 µl Recepción ok ,,,Micropipeta,En Revisión,CC 421217,Fisherbrand,KU00567,Calibración metrologica,,OQ,PQ,CAL,2301.0,Biología Molecular,Biología molecular,Celsius,,,,,,,,,X,,,,2024-09-17,46,Torre H,Realizado,0,0.0,0.0,0.0,111109
20 - 200 µl  Recepción ok ,,,Micropipeta,En Revisión,CC 421216,Brand,10Ne1700,Calibración metrologica,,OQ,PQ,CAL,2301.0,Biología Molecular,Biología molecular,Celsius,,,,,,,,,X,,,,2024-09-17,46,Torre H,Realizado,0,0.0,0.0,0.0,111109
100 -1000 µl  ,,,Micropipeta ,En Revisión,CC 388364 // CC 440582,Boeco,RJ846993,Calibración metrologica,,OQ,PQ,CAL,2300.0,Laboratorio Clínico,Laboratorio Clínico,Celsius,,X,,,,,,,,,,,2025-02-12,194,Torre A,Realizado,0,0.0,0.0,0.0,111109
Pendiente para reprogramacion - marzo - abril 2025,,No Cumple,Nevera,Pendiente,2336-1 // CC CF-0025_x000D_,Biored,BIO-R1800129 ,Verificación metrologica,,,,CAL,1300.0,UCI C.V Adultos ,UCI C.V Adultos ,Ainser,,X,,,,,,,,,,,2025-02-14,196,Torre A,Realizado,0,0.0,0.0,0.0,300000
Pendiente para reprogramacion - marzo - abril 2025,,No Cumple,Nevera,Pendiente,CF-0023,Challenger,231017-01492,Verificación metrologica,,,,CAL,1000.0,Cirugía,Nevera central gases medicinales,Ainser,,X,,,,,,,,,,,2025-02-10,192,Torre A,Realizado,0,0.0,0.0,0.0,300000
(-30 - 30 in H2O),,No Cumple,Manómetro diferencial de presión,Pendiente,-,Dwyer,0B3N8P,Calibración metrologica,,,,CAL,2301.0,Biología Molecular,Ingreso pre PCR,Ainser,,,,X,X,X,,,,,,,2025-05-23,294,Torre H,Realizado,0,0.0,0.0,0.0,300000
SIN FTT,,,Pesa bebe (20 kg),En Revisión,CC 416965,Seca,5334126135543,Calibración metrologica,,OQ,PQ,CAL,402.0,UCI C.V Pediátrica,Uci C.V Pediátrica,Celsius,,,,,,,,X,,,,,2024-08-02,0,Torre C,Realizado,0,0.0,0.0,0.0,84311
(-30 - 30 in H2O) -- CRITERIO DE BAJA -- 22/05/2025,,No Cumple,Manómetro diferencial de presión ,Pendiente,CC 391591,Marsense ,HYJ33443,Calibración metrologica,,,,CAL,2301.0,Biología Molecular,Deposito de residuos ,Ainser,,,,X,X,X,,,,,,,2025-05-23,294,Torre H,Realizado,0,0.0,0.0,0.0,300000
SIN FTT,,,Pesa bebe (20 kg),En Revisión,CC 407219 // CC 456852,Seca,10000000788792,Calibración metrologica,,OQ,PQ,CAL,200.0,Hospitalización niños,Torre C piso 3,Celsius,,,,,,X,,,,,,,2025-06-05,307,Torre C,Realizado,0,0.0,0.0,0.0,84311
SIN FTT,,,Pesa bebe (20 kg),En Revisión,CC 407220 // CC 456938,Seca,5530007522,Calibración metrologica,,OQ,PQ,CAL,200.0,Hospitalización niños,Suite Pediátrica,Celsius,,,,,,X,,,,,,,2025-06-16,318,Torre C,Realizado,0,0.0,0.0,0.0,84311
"(-0.25 - 0.25 in H2O)
RECEPCIÓN OK",,,Manómetro diferencial de presión ,En Revisión,LP230404 // CC 423859,Dwyer,NW29AI SG,Calibración metrologica,,,,CAL,1600.0,UCI Medica 1,UCI Médica 1,Ainser,,,,,,,,,,,X,,2024-11-29,119,Torre D,Realizado,0,0.0,0.0,0.0,300000
Recepción ok,,,Pesa bebe (20 kg),En Revisión,CC 419839,Seca,5334060148935,Calibración metrologica,,OQ,PQ,CAL,2005.0,Urgencias Pediátricas,Urgencias pediátricas TAP1,Celsius,,,,,,,,,X,,,,2024-09-04,33,Torre F,Realizado,0,0.0,0.0,0.0,84311
(0 -3 in H2O) ok RECEPCIÓN OK,,,Manómetro diferencial de presión ,En Revisión,CC 418776,Dwyer,Rc-431 ,Calibración metrologica,,,,CAL,1101.0,Hospitalización Reinaldo Cabrera,Hospitalizacion adultos TBP - 431,Ainser,,,,,,,,,,,X,,2024-11-06,96,Torre B,Realizado,0,0.0,0.0,0.0,260000
EQUIPO EN COMODATO // CALIBRADO MAS NO CALIFICADO,,,Nevera,,598-2024 // CL- 0684,Haier,BE06M YE1T0 0QEPB 10010,Calificación metrologica // Calibración,,,,CAL,4301.0,Investigaciones,Farmacia Investigaciones,Ainser,,,,,,X,,,,,,,2025-06-12,314,Torre H,Realizado,0,0.0,0.0,0.0,0
SIN FTT,,,Pesa bebe (20 kg),En Revisión,CC 417415,Health O Meter,400302014139,Calibración metrologica,,OQ,PQ,CAL,7405.0,Consulta externa,Torre I Piso 5 C.508,Celsius,,,,,,,,X,,,,,2024-08-08,6,Torre I,Realizado,0,0.0,0.0,0.0,84311
SIN FTT,,,Pesa bebe (20 kg),En Revisión, CC 417982,Seca,B544655310 / 840810/15938,Calibración metrologica,,OQ,PQ,CAL,7000.0,Nutrición,Nutrición Torre E 4 piso,Celsius,,,,,,,,X,,,,,2024-08-15,13,Torre E,Realizado,0,0.0,0.0,0.0,84311
SIN FTT,,,Pesa bebe (20 kg),En Revisión,CC 417986,Seca,5334060148927,Calibración metrologica,,OQ,PQ,CAL,7404.0,Consulta externa,Torre I piso 4 C.418,Celsius,,,,,,,,X,,,,,2024-08-15,13,Torre I,Realizado,0,0.0,0.0,0.0,84311
Reunión del 05/08/2024 - Ing Ingrid - REVISAR EQUIPO ESTA EN SERVICIO,,,Nevera,,4280,Supernórdico,P-3567,Verificación metrologica,,,,CAL,1101.0,Back up,Back up,Ainser,,,,,,,,,,,X,,2024-11-29,119,Torre D,Realizado,0,0.0,0.0,0.0,300000
RECEPCIÓN OK ,,,Pesa bebe (20 kg),En Revisión,CC 419885,Seca,5334219153852,Calibración metrologica,,OQ,PQ,CAL,2005.0,Urgencias Pediátricas,Urgencias pediátricas TFP1,Celsius,,,,,,,,,X,,,,2024-09-10,39,Torre F,Realizado,0,0.0,0.0,0.0,84311
Recepción ok,,,Pesa bebe (20 kg),En Revisión,CC 419834,Seca,5334085119395,Calibración metrologica,,OQ,PQ,CAL,401.0,UCI Pediátrica,Uci Pediátrica TCP2,Celsius,,,,,,,,,X,,,,2024-09-04,33,Torre C,Realizado,0,0.0,0.0,0.0,84311
(-30 - 30 in H2O) -- CRITERIO DE BAJA -- 22/05/2025,,No Cumple,Manómetro diferencial de presión ,Pendiente,CC 391592,Marsense ,HYJ33534,Calibración metrologica,,,,CAL,2301.0,Biología Molecular,Filtro de ingreso,Ainser,,,,X,X,X,,,,,,,2025-05-23,294,Torre H,Realizado,0,0.0,0.0,0.0,300000
"-0,015 kg",,,Pesa bebe (20 kg),En Revisión,CC 402805 // CC 457823,Seca,5334060148937,Calibración metrologica,,OQ,PQ,CAL,7404.0,Consulta externa,Torre I piso 4 C.406,Celsius,,,,,X,,,,,,,,2025-05-22,293,Torre I,Realizado,0,0.0,0.0,0.0,84311
REVISAR CC FCT,,Cumple,Pesa bebe (20 kg),En Revisión,27327 // CC 448262,ADE,55568-1034615-00031,Calibración metrologica,,OQ,PQ,CAL,800.0,UCI neonatal ,Uci neonatal ,Celsius,,,,X,,,,,,,,,2025-04-08,249,Torre C,Realizado,0,0.0,0.0,0.0,84311
RECEPCIÓN OK ,,,Pesa bebe (20 kg),En Revisión,CC 419882,Health O Meter,1524001374,Calibración metrologica,,OQ,PQ,CAL,2000.0,Urgencias Adultos,Bodega de urgencias,Celsius,,,,,,,,,X,,,,2024-09-10,39,Torre A,Realizado,0,0.0,0.0,0.0,84311
RECEPCIÓN OK ,,,Pesa bebe (20 kg),En Revisión,CC 419884,Seca,5334234135357,Calibración metrologica,,OQ,PQ,CAL,7407.0,Consulta externa,Torre I Piso 7 C.714,Celsius,,,,,,,,,X,,,,2024-09-10,39,Torre I,Realizado,0,0.0,0.0,0.0,84311
---,,Cumple,Nevera,,CF-0020 // CC CF-0020,Haier,BE06M XE1T0 0QEN3 30004,Calificación metrologica,,,,CAL,800.0,UCI neonatal ,Uci neonatal ,Ainser,,X,,,,,,,,,,,2025-02-11,193,Torre C,Realizado,0,0.0,0.0,0.0,650000
PENDIENTES CC,,,Pesa bebe (20 kg),En Revisión,CC 432878,Seca,5334125135338,Calibración metrologica,,OQ,PQ,CAL,200.0,Hospitalización niños,Torre C piso 2 Cuarto de equipos,Celsius,,,,,,,,,,,,X,2024-12-05,125,Torre C,Realizado,0,0.0,0.0,0.0,84311
---,,,Tallímetro,En Revisión,024,Seca,21950,Calibración metrologica,,,,CAL,2005.0,Urgencias Pediátricas,Urgencias pediátricas TFP1,FCI,,,,,,,X,,,,,,2024-07-31,-2,Torre F,Pendiente,0,0.0,0.0,0.0,0
---,,,Tallímetro,En Revisión,025,Pared,TFP1-4,Calibración metrologica,,,,CAL,2005.0,Urgencias Pediátricas,Urgencias pediátricas sala de procedimientos,FCI,,,,,,,X,,,,,,2024-07-31,-2,Torre F,Pendiente,0,0.0,0.0,0.0,0
NO CUMPLE - se hizo MTT AGOSTO-2024  - Equipo fuera de especificaciones - SE DOCUMENTA FRACTTAL,,,Nevera,,2469 //  3999,Supernordico,P-3720,Calificación metrologica,,,,CAL,200.0,Hospitalización niños,Suite Pediátrica,Ainser,,,,,,,,,,,X,,2024-11-27,117,Torre C,Realizado,0,0.0,0.0,0.0,650000
---,,Cumple,Nevera,,2534 // CC CL-0162 // CC CF-0035,Haier,BE06M XE1T0 0QEP1 20002,Calificación metrologica,,,,CAL,2000.0,Urgencias Adultos,Torre A Urgencias principal,Ainser,,X,,,,,,,,,,,2025-02-28,210,Torre A,Realizado,0,0.0,0.0,0.0,650000
(-30 - 30 in H2O) NO CUMPLE - EN CALIBRACIÓN - El 30 de octubre se realziaron las 3 calibraciones de los Diferenciales de presión -- CRITERIO ,,No Cumple,Manómetro diferencial de presión,En Revisión,NO CUMPLE,Marsense ,HYJ33634,Calibración metrologica,,,,CAL,2301.0,Biología Molecular,Ingreso pre PCR,Ainser,,,,,,,,,X,,,,2024-09-30,59,Torre H,Realizado,0,0.0,0.0,0.0,300000
---,,No Cumple,Nevera,Pendiente,3219 // 3421,Frigossie,34800234516380000031,Calificación de desempeño metrologica // Caracterización,,,,CAL,1000.0,Cirugía,Farmacia cirugia ,Ainser,,,,,,,,,X,,,,2024-09-06,35,Torre A,Realizado,0,0.0,0.0,0.0,650000
---,,Cumple,Termómetro - neveras,En Revisión,CL-0201,Alla france,A865,Calibración metrologica,,,,CAL,1101.0,Hopitalización Adultos,Torre B psio 3,Ainser,,X,,,,,,,,,,,2025-02-11,193,Torre B ,Realizado,0,0.0,0.0,90000.0,90000
Mtt para septiembre - 02/10/2024 Equipo para CALIFICACIÓN Y CALIBRACIÓN. - PENDIENTE DE CAMBIO DE BANDEJAS Y AJUSTE DE SET POINT - revisar por obsolec -- SE ENVIA CORREO EN ESPERA DE RESPUESTA,,,Nevera,,2393,Supernórdico,06-0585,Calificación metrologica,,OQ,PQ,,1000.0,Cirugía,Farmacia No Cardiovascular,Ainser,,,,,,,,,X,,,,2024-09-17,46,Torre A,Realizado,0,0.0,0.0,0.0,650000
---,,,Nevera,,3495,Conserv,20032800834,Calificación de Desempeño,,,,CAL,4301.0,Investigaciones,Farmacia investigaciones,Ainser,,,,,,,,,X,,,,2024-09-17,46,Torre H,Realizado,0,0.0,0.0,0.0,300000
---,,,Nevera,,3497 // 3501 // 3498,Haier,BE0F16EAR00QEN340003,Calificación metrologica // Calibración,,OQ,PQ,CAL,6904.0,Sede 102,Almacenamiento de Insumos y Reactivos,Ainser,,,,,,,,,X,,,,2024-09-18,47,Sede 102,Realizado,0,0.0,0.0,0.0,0
---,,Cumple,Termómetro - neveras,En Revisión,CL-0200,Alla france,A1022,Calibración metrologica,,,,CAL,1101.0,Hopitalización Adultos,Torre B piso 5,Ainser,,X,,,,,,,,,,,2025-02-11,193,Torre B ,Realizado,0,0.0,0.0,90000.0,90000
---,,,Nevera,,3499 // 3503  //  3499,Haier,BE0F16EAR00QEN340002,Calificación metrologica // Calibración,,OQ,PQ,CAL,6904.0,Sede 102,Área de reprocesamiento ,Ainser,,,,,,,,,X,,,,2024-09-19,48,Sede 102,Realizado,0,0.0,0.0,0.0,0
---,,Cumple,Termómetro - neveras,En Revisión,CL-0203,Alla france,T0261,Calibración metrologica,,,,CAL,1101.0,Hopitalización Adultos,Torre B piso 5,Ainser,,X,,,,,,,,,,,2025-02-11,193,Torre B ,Realizado,0,0.0,0.0,90000.0,90000
---,,Cumple,Termómetro - neveras,En Revisión,CL-0202,Alla france,A5611,Calibración metrologica,,,,CAL,7406.0,Hopitalización Adultos,Torre B piso 6,Ainser,,X,,,,,,,,,,,2025-02-11,193,Torre B ,Realizado,0,0.0,0.0,90000.0,90000
EQUIPOS NUEVOS,,Cumple,Termómetro - neveras,En Revisión,-,Alla france,A1001,Calibración metrologica,,,,CAL,1100.0,Hopitalización Adultos,Torre A piso 3,Ainser,,,,,,,,,X,,,,2024-09-21,50,Torre D,Realizado,0,0.0,0.0,90000.0,90000
EQUIPOS NUEVOS,,Cumple,Termómetro - neveras,En Revisión,-,Alla france,A991,Calibración metrologica,,,,CAL,1101.0,Hopitalización Adultos,Torre B psio 3,Ainser,,,,,,,,,X,,,,2024-09-21,50,Torre B ,Realizado,0,0.0,0.0,90000.0,90000
EQUIPOS NUEVOS,,Cumple,Termómetro - neveras,En Revisión,-,Alla france,A990,Calibración metrologica,,,,CAL,1101.0,Hopitalización Adultos,Torre B psio 4,Ainser,,,,,,,,,X,,,,2024-09-21,50,Torre B ,Realizado,0,0.0,0.0,90000.0,90000
EQUIPO NO UBICADO,,,Tensiometro,En Revisión,CC 407357,Welch Allyn,110728221417,Calibración metrologica,,,,CAL,1101.0,Hospitalización Reinaldo Cabrera,Hospitalización adultos TBP - 615,Celsius,,,,,X,,,,,,,,2024-06-04,-59,Torre B,Pendiente,0,0.0,0.0,0.0,63944
EQUIPOS NUEVOS,,Cumple,Termómetro - neveras,En Revisión,CL-0154,Alla france,A1093,Calibración metrologica,,,,CAL,1101.0,Hopitalización Adultos,Torre B psio 4  -UCI Coronaria,Ainser,,,,,,,,,X,,,,2024-09-21,50,Torre B ,Realizado,0,0.0,0.0,90000.0,90000
EQUIPOS NUEVOS,,Cumple,Termómetro - neveras,En Revisión,-,Alla france,Sin Termometro,Calibración metrologica,,,,CAL,1101.0,Hopitalización Adultos,Torre B psio 4,Ainser,,,,,,,,,X,,,,2024-09-21,50,Torre B ,Realizado,0,0.0,0.0,90000.0,90000
EQUIPOS NUEVOS,,Cumple,Termómetro - neveras,En Revisión,-,Alla france,Sin Termometro,Calibración metrologica,,,,CAL,0.0,Hopitalización Adultos,Torre B piso 5,Ainser,,,,,,,,,X,,,,2024-09-21,50,Torre B ,Realizado,0,0.0,0.0,90000.0,90000
RECEPCIÓN OK - CALIFICADO,,Cumple,Nevera,,2872 // CF-0193,Supernordico,13‑E0355,Verificación metrologica,,,,CAL,200.0,Hospitalización niños,TCP3,Ainser,,,,,,X,,,,,,,2025-06-13,315,Torre C,Realizado,0,0.0,0.0,0.0,300000
---,,,Nevera,,3996,Haier,BE0697E1T00QEN2J0012,Calificación metrologica,,OQ,PQ,,200.0,Hospitalización niños,TCP3,Ainser,,,,,,,,,,,X,,2024-11-27,117,Torre C,Realizado,0,0.0,0.0,0.0,650000
EQUIPOS NUEVOS,,Cumple,Termómetro - neveras,En Revisión,-,Alla france,Sin Termometro,Calibración metrologica,,,,CAL,7406.0,Hopitalización Adultos,Torre B piso 6,Ainser,,,,,,,,,X,,,,2024-09-21,50,Torre B ,Realizado,0,0.0,0.0,90000.0,90000
EQUIPOS NUEVOS,,Cumple,Termómetro - neveras,En Revisión,-,Alla france,A3444,Calibración metrologica,,,,CAL,0.0,Hopitalización Adultos,Torre D piso 2,Ainser,,,,,,,,,X,,,,2024-09-21,50,Torre D,Realizado,0,0.0,0.0,90000.0,90000
EQUIPOS NUEVOS,,Cumple,Termómetro - neveras,En Revisión,-,Alla france,A0416,Calibración metrologica,,,,CAL,0.0,Hopitalización Adultos,Torre D piso 2,Ainser,,,,,,,,,X,,,,2024-09-21,50,Torre D,Realizado,0,0.0,0.0,90000.0,90000
---,,,Tallímetro,En Revisión,032,Seca,21449,Calibración metrologica,,,,CAL,1102.0,Falla Cardíaca ,Falla Cardiaca,FCI,,,,,,,X,,,,,,2024-07-31,-2,Torre A,Pendiente,0,0.0,0.0,0.0,0
(-30 - 30 in H2O),,No Cumple,Manómetro diferencial de presión ,Pendiente,-,Dwyer,0B3N8N,Calibración metrologica,,,,CAL,2301.0,Biología Molecular,Deposito de residuos ,Ainser,,,,X,X,X,,,,,,,2025-05-23,294,Torre H,Realizado,0,0.0,0.0,0.0,300000
EQUIPOS NUEVOS,,Cumple,Termómetro - neveras,En Revisión,-,Alla france,A3443,Calibración metrologica,,,,CAL,0.0,Hopitalización Adultos,Torre D piso 2,Ainser,,,,,,,,,X,,,,2024-09-21,50,Torre D,Realizado,0,0.0,0.0,90000.0,90000
NO CUMPLE - Pendiente programar VERIFICACIÓN,,No Cumple,Nevera,Pendiente,--,Imbera,15E-0883,Verificación metrologica,,,PQ,,4010.0,Sótano,Back up 0 a- 6°C,Ainser,,,,,,,,,,,X,,2024-11-29,119,Sótano,Realizado,0,0.0,0.0,0.0,300000
 NO CUMPLE -- MTT SEPTIEMBRE. TIENE CORRECTIVO PARA EL MES DE JULIO ACTIVACIÓN DE TERMOSTATO -  PENDIENTE RESPUESTA DE FRACTTAL.,,Cumple,Nevera,,4334,Haceb,L111330818,Verificación metrologica,,,,CAL,1101.0,Hospitalización Reinaldo Cabrera,Hospitalización adultos TBP - 6 ,Ainser,,,,,,,X,,,,,,2025-07-30,362,Torre B,Realizado,0,0.0,0.0,0.0,300000
 0 kg,,,Pesa bebe (20 kg),En Revisión,CC 402814 // CC 457914,Seca,5334149145853,Calibración metrologica,,OQ,PQ,CAL,7412.0,Consulta externa,Torre I piso 12 C.01,Celsius,,,,,X,,,,,,,,2025-06-16,318,Torre I,Realizado,0,0.0,0.0,0.0,84311
-3 kg,,,Báscula (150 kg),En Revisión,CC 402804 // CC 456934,Health O Meter,1600000511,Calibración metrologica,,,,CAL,7404.0,Consulta externa,Torre I piso 4 C.402,Celsius,,,,,X,,,,,,,,2025-06-17,319,Torre I,Realizado,0,0.0,0.0,0.0,84311
